#x_m,y_m,w_tr_right_m,w_tr_left_m
-93.22821392615789,-42.644570971790955,5,5
-93.438575315534,-42.19979759275349,5,5
-93.6493366974535,-41.75508960183806,5,5
-93.8604094436171,-41.31040116736557,5,5
-94.07170480602471,-40.86568639453539,5,5
-94.28313391033114,-40.420899322031616,5,5
-94.49460774918508,-39.975993918620986,5,5
-94.70603716897322,-39.53092406802366,5,5
-94.9173328739421,-39.0856435974265,5,5
-95.12840541861033,-38.640106245013186,5,5
-95.33916519756801,-38.19426566615188,5,5
-95.54952243876949,-37.748075429122046,5,5
-95.75938719675122,-37.301489011652855,5,5
-95.9686639350577,-36.854460477814456,5,5
-96.17723469011274,-36.40694664568712,5,5
-96.38497181428124,-35.958905506285134,5,5
-96.59174638608165,-35.51029519204449,5,5
-96.7974294048585,-35.06107384159052,5,5
-97.00189182749097,-34.6111996115947,5,5
-97.20501160870073,-34.16063518060738,5,5
-97.4066964315297,-33.70936231790562,5,5
-97.60686980784621,-33.25737295133823,5,5
-97.80545775319871,-32.80466060582795,5,5
-98.00238647580719,-32.35121890649023,5,5
-98.19758240229689,-31.897041580774957,5,5
-98.39098826458344,-31.442128541464506,5,5
-98.58261718368465,-30.9865063556447,5,5
-98.77252700399796,-30.530218520548022,5,5
-98.96078321643469,-30.073311420657937,5,5
-99.14745140859972,-29.615831464316987,5,5
-99.33259725002785,-29.15782507319165,5,5
-99.51629651819874,-28.699338863386394,5,5
-99.69867035807206,-28.24042029842339,5,5
-99.8798741894896,-27.78111742184766,5,5
-100.06006956532278,-27.32147831240413,5,5
-100.23941778942019,-26.861550973981522,5,5
-100.41807997000097,-26.40138335164713,5,5
-100.59621444788715,-25.94102087051269,5,5
-100.77396705849804,-25.480497212652573,5,5
-100.95147216236529,-25.01983525613862,5,5
-101.12886183676227,-24.559055695988825,5,5
-101.30626824485176,-24.098179220914346,5,5
-101.48382371224176,-23.637226525532263,5,5
-101.66165136797187,-23.176215703610424,5,5
-101.83982716678935,-22.715151699945146,5,5
-102.01837458847439,-22.254024837799008,5,5
-102.19730603287886,-21.792822305864277,5,5
-102.3766339830692,-21.331531251454827,5,5
-102.55637100973374,-20.870138776147325,5,5
-102.73652353580582,-20.408630582937846,5,5
-102.9170643453818,-19.946985034683305,5,5
-103.09792233693084,-19.48517095004453,5,5
-103.27901655672821,-19.023154965683233,5,5
-103.4602657785849,-18.56090360664293,5,5
-103.64158850141033,-18.098383285380105,5,5
-103.8229030660249,-17.635561540022145,5,5
-104.00412822475366,-17.172412954522674,5,5
